index,coef,timepoint,condition,subj,roi
cpe_1_13,-0.0398781736897,12,cpe_1,pc07,yeo17_mspl
cpe_1_14,-0.0347092692788,13,cpe_1,pc07,yeo17_mspl
cpe_1_15,-0.0372714980821,14,cpe_1,pc07,yeo17_mspl
cpe_1_16,-0.0431797595734,15,cpe_1,pc07,yeo17_mspl
cpe_1_17,-0.0477312580832,16,cpe_1,pc07,yeo17_mspl
cpe_1_18,-0.041215482008,17,cpe_1,pc07,yeo17_mspl
cpe_1_19,-0.025977724236,18,cpe_1,pc07,yeo17_mspl
cpe_1_20,-0.00924903827167,19,cpe_1,pc07,yeo17_mspl
cpe_1_21,-0.00950023185571,20,cpe_1,pc07,yeo17_mspl
cpe_1_22,-0.0193128151751,21,cpe_1,pc07,yeo17_mspl
cpe_1_23,-0.0170741186017,22,cpe_1,pc07,yeo17_mspl
cpe_3_00,-0.00637985356206,-1,cpe_3,pc07,yeo17_pcc
cpe_3_01,0.0020680007411,0,cpe_3,pc07,yeo17_pcc
cpe_3_02,0.0143736705366,1,cpe_3,pc07,yeo17_pcc
cpe_3_03,0.0368327985441,2,cpe_3,pc07,yeo17_pcc
cpe_3_04,0.0643828192576,3,cpe_3,pc07,yeo17_pcc
cpe_3_05,0.0788912376935,4,cpe_3,pc07,yeo17_pcc
cpe_3_06,0.0606952419145,5,cpe_3,pc07,yeo17_pcc
cpe_3_07,0.0155532592,6,cpe_3,pc07,yeo17_pcc
cpe_3_08,-0.0263212884931,7,cpe_3,pc07,yeo17_pcc
cpe_3_09,-0.0414903986891,8,cpe_3,pc07,yeo17_pcc
cpe_3_10,-0.0425603215023,9,cpe_3,pc07,yeo17_pcc
cpe_3_11,-0.0457233787895,10,cpe_3,pc07,yeo17_pcc
cpe_3_12,-0.0526016372456,11,cpe_3,pc07,yeo17_pcc
cpe_3_13,-0.065706879248,12,cpe_3,pc07,yeo17_pcc
cpe_3_14,-0.0669245325731,13,cpe_3,pc07,yeo17_pcc
cpe_3_15,-0.0620689659336,14,cpe_3,pc07,yeo17_pcc
cpe_3_16,-0.0475183259828,15,cpe_3,pc07,yeo17_pcc
cpe_3_17,-0.0240060427202,16,cpe_3,pc07,yeo17_pcc
cpe_3_18,-0.00396279416872,17,cpe_3,pc07,yeo17_pcc
cpe_3_19,-0.0148919073675,18,cpe_3,pc07,yeo17_pcc
cpe_3_20,-0.0547195206251,19,cpe_3,pc07,yeo17_pcc
cpe_3_21,-0.0649742958401,20,cpe_3,pc07,yeo17_pcc
cpe_3_22,-0.0411443436518,21,cpe_3,pc07,yeo17_pcc
cpe_3_23,-0.0131967192597,22,cpe_3,pc07,yeo17_pcc
cpe_4_00,-0.00230312931343,-1,cpe_4,pc07,yeo17_pcc
cpe_4_01,0.00332746191461,0,cpe_4,pc07,yeo17_pcc
cpe_4_02,0.00828441859106,1,cpe_4,pc07,yeo17_pcc
cpe_4_03,0.0327968176186,2,cpe_4,pc07,yeo17_pcc
cpe_4_04,0.0697874791984,3,cpe_4,pc07,yeo17_pcc
cpe_4_05,0.0836947480415,4,cpe_4,pc07,yeo17_pcc
cpe_4_06,0.0718093128729,5,cpe_4,pc07,yeo17_pcc
