,param,subj,roi,bold,hemi,region,network
97,cpe,pc22,rh.yeo17_ifs,13.921966552734375,rh,ifs,lat
98,cpe,pc22,lh.yeo17_ips,31.958436965942383,lh,ips,lat
99,cpe,pc22,rh.yeo17_ips,39.88203811645508,rh,ips,lat
100,cpe,pc22,lh.yeo17_mspl,47.97681427001953,lh,mspl,med
101,cpe,pc22,rh.yeo17_mspl,35.970802307128906,rh,mspl,med
102,cpe,pc22,lh.yeo17_pcc,31.013946533203125,lh,pcc,med
103,cpe,pc22,rh.yeo17_pcc,34.47854995727539,rh,pcc,med
104,cpe,pc23,lh.yeo17_ifs,24.595796585083008,lh,ifs,lat
105,cpe,pc23,rh.yeo17_ifs,21.359195709228516,rh,ifs,lat
106,cpe,pc23,lh.yeo17_ips,31.910995483398438,lh,ips,lat
107,cpe,pc23,rh.yeo17_ips,40.745784759521484,rh,ips,lat
108,cpe,pc23,lh.yeo17_mspl,30.414608001708984,lh,mspl,med
109,cpe,pc23,rh.yeo17_mspl,34.07123565673828,rh,mspl,med
110,cpe,pc23,lh.yeo17_pcc,29.44488525390625,lh,pcc,med
111,cpe,pc23,rh.yeo17_pcc,26.621789932250977,rh,pcc,med
112,cpe,pc24,lh.yeo17_ifs,16.881765365600586,lh,ifs,lat
113,cpe,pc24,rh.yeo17_ifs,-0.2731615900993347,rh,ifs,lat
114,cpe,pc24,lh.yeo17_ips,4.294142723083496,lh,ips,lat
115,cpe,pc24,rh.yeo17_ips,-8.254020690917969,rh,ips,lat
116,cpe,pc24,lh.yeo17_mspl,13.947672843933105,lh,mspl,med
117,cpe,pc24,rh.yeo17_mspl,12.507075309753418,rh,mspl,med
118,cpe,pc24,lh.yeo17_pcc,23.029052734375,lh,pcc,med
119,cpe,pc24,rh.yeo17_pcc,30.56793212890625,rh,pcc,med
120,error:cpe,pc07,lh.yeo17_ifs,-49.75114059448242,lh,ifs,lat
121,error:cpe,pc07,rh.yeo17_ifs,-48.71092224121094,rh,ifs,lat
122,error:cpe,pc07,lh.yeo17_ips,-75.13151550292969,lh,ips,lat
123,error:cpe,pc07,rh.yeo17_ips,-55.651607513427734,rh,ips,lat
124,error:cpe,pc07,lh.yeo17_mspl,-31.501405715942383,lh,mspl,med
125,error:cpe,pc07,rh.yeo17_mspl,-33.0138053894043,rh,mspl,med
126,error:cpe,pc07,lh.yeo17_pcc,-9.325845718383789,lh,pcc,med
127,error:cpe,pc07,rh.yeo17_pcc,-12.294473648071289,rh,pcc,med
128,error:cpe,pc08,lh.yeo17_ifs,-13.32848072052002,lh,ifs,lat
129,error:cpe,pc08,rh.yeo17_ifs,-11.201597213745117,rh,ifs,lat
130,error:cpe,pc08,lh.yeo17_ips,7.3141069412231445,lh,ips,lat
131,error:cpe,pc08,rh.yeo17_ips,40.34186553955078,rh,ips,lat
132,error:cpe,pc08,lh.yeo17_mspl,41.91895294189453,lh,mspl,med
133,error:cpe,pc08,rh.yeo17_mspl,40.350154876708984,rh,mspl,med
134,error:cpe,pc08,lh.yeo17_pcc,48.01402282714844,lh,pcc,med
135,error:cpe,pc08,rh.yeo17_pcc,30.996978759765625,rh,pcc,med
136,error:cpe,pc10,lh.yeo17_ifs,-21.730669021606445,lh,ifs,lat
137,error:cpe,pc10,rh.yeo17_ifs,-6.645430088043213,rh,ifs,lat
138,error:cpe,pc10,lh.yeo17_ips,-4.185863018035889,lh,ips,lat
139,error:cpe,pc10,rh.yeo17_ips,-6.3732404708862305,rh,ips,lat
140,error:cpe,pc10,lh.yeo17_mspl,-4.51026725769043,lh,mspl,med
141,error:cpe,pc10,rh.yeo17_mspl,-10.238639831542969,rh,mspl,med
142,error:cpe,pc10,lh.yeo17_pcc,-10.15983772277832,lh,pcc,med
143,error:cpe,pc10,rh.yeo17_pcc,10.79919719696045,rh,pcc,med
144,error:cpe,pc11,lh.yeo17_ifs,2.7750704288482666,lh,ifs,lat
145,error:cpe,pc11,rh.yeo17_ifs,-16.662569046020508,rh,ifs,lat
146,error:cpe,pc11,lh.yeo17_ips,17.588659286499023,lh,ips,lat
147,error:cpe,pc11,rh.yeo17_ips,0.14786235988140106,rh,ips,lat
148,error:cpe,pc11,lh.yeo17_mspl,8.244668006896973,lh,mspl,med
149,error:cpe,pc11,rh.yeo17_mspl,7.835816383361816,rh,mspl,med
150,error:cpe,pc11,lh.yeo17_pcc,29.933652877807617,lh,pcc,med
151,error:cpe,pc11,rh.yeo17_pcc,71.0645980834961,rh,pcc,med
152,error:cpe,pc12,lh.yeo17_ifs,-42.972564697265625,lh,ifs,lat
153,error:cpe,pc12,rh.yeo17_ifs,-43.517364501953125,rh,ifs,lat
154,error:cpe,pc12,lh.yeo17_ips,-60.20668411254883,lh,ips,lat
155,error:cpe,pc12,rh.yeo17_ips,-68.47591400146484,rh,ips,lat
156,error:cpe,pc12,lh.yeo17_mspl,-64.79228973388672,lh,mspl,med
157,error:cpe,pc12,rh.yeo17_mspl,-51.2708740234375,rh,mspl,med
158,error:cpe,pc12,lh.yeo17_pcc,-15.300548553466797,lh,pcc,med
159,error:cpe,pc12,rh.yeo17_pcc,-32.286285400390625,rh,pcc,med
160,error:cpe,pc13,lh.yeo17_ifs,-43.51762008666992,lh,ifs,lat
161,error:cpe,pc13,rh.yeo17_ifs,17.426559448242188,rh,ifs,lat
162,error:cpe,pc13,lh.yeo17_ips,-63.6163330078125,lh,ips,lat
163,error:cpe,pc13,rh.yeo17_ips,10.998391151428223,rh,ips,lat
164,error:cpe,pc13,lh.yeo17_mspl,20.3653564453125,lh,mspl,med
165,error:cpe,pc13,rh.yeo17_mspl,72.9881591796875,rh,mspl,med
166,error:cpe,pc13,lh.yeo17_pcc,-23.50450897216797,lh,pcc,med
167,error:cpe,pc13,rh.yeo17_pcc,-18.14052963256836,rh,pcc,med
168,error:cpe,pc14,lh.yeo17_ifs,-0.6750459671020508,lh,ifs,lat
169,error:cpe,pc14,rh.yeo17_ifs,-38.3701057434082,rh,ifs,lat
170,error:cpe,pc14,lh.yeo17_ips,0.6662585139274597,lh,ips,lat
171,error:cpe,pc14,rh.yeo17_ips,-36.75135803222656,rh,ips,lat
172,error:cpe,pc14,lh.yeo17_mspl,11.834660530090332,lh,mspl,med
173,error:cpe,pc14,rh.yeo17_mspl,8.130956649780273,rh,mspl,med
174,error:cpe,pc14,lh.yeo17_pcc,25.12226676940918,lh,pcc,med
175,error:cpe,pc14,rh.yeo17_pcc,12.55223274230957,rh,pcc,med
176,error:cpe,pc15,lh.yeo17_ifs,-4.912365436553955,lh,ifs,lat
177,error:cpe,pc15,rh.yeo17_ifs,-10.139164924621582,rh,ifs,lat
178,error:cpe,pc15,lh.yeo17_ips,-14.059720039367676,lh,ips,lat
179,error:cpe,pc15,rh.yeo17_ips,-24.011613845825195,rh,ips,lat
180,error:cpe,pc15,lh.yeo17_mspl,-20.831497192382812,lh,mspl,med
181,error:cpe,pc15,rh.yeo17_mspl,-6.372364044189453,rh,mspl,med
182,error:cpe,pc15,lh.yeo17_pcc,18.680089950561523,lh,pcc,med
183,error:cpe,pc15,rh.yeo17_pcc,8.365798950195312,rh,pcc,med
184,error:cpe,pc16,lh.yeo17_ifs,-22.805387496948242,lh,ifs,lat
185,error:cpe,pc16,rh.yeo17_ifs,-37.721763610839844,rh,ifs,lat
186,error:cpe,pc16,lh.yeo17_ips,-62.60000228881836,lh,ips,lat
187,error:cpe,pc16,rh.yeo17_ips,-59.48689651489258,rh,ips,lat
188,error:cpe,pc16,lh.yeo17_mspl,-36.754173278808594,lh,mspl,med
189,error:cpe,pc16,rh.yeo17_mspl,-41.13555145263672,rh,mspl,med
190,error:cpe,pc16,lh.yeo17_pcc,3.267346143722534,lh,pcc,med
191,error:cpe,pc16,rh.yeo17_pcc,-11.432761192321777,rh,pcc,med
192,error:cpe,pc17,lh.yeo17_ifs,4.126096725463867,lh,ifs,lat
193,error:cpe,pc17,rh.yeo17_ifs,22.790660858154297,rh,ifs,lat
194,error:cpe,pc17,lh.yeo17_ips,16.504304885864258,lh,ips,lat
195,error:cpe,pc17,rh.yeo17_ips,16.335256576538086,rh,ips,lat
196,error:cpe,pc17,lh.yeo17_mspl,12.484569549560547,lh,mspl,med
197,error:cpe,pc17,rh.yeo17_mspl,13.373562812805176,rh,mspl,med
198,error:cpe,pc17,lh.yeo17_pcc,8.208508491516113,lh,pcc,med
199,error:cpe,pc17,rh.yeo17_pcc,24.275833129882812,rh,pcc,med
200,error:cpe,pc18,lh.yeo17_ifs,4.683779239654541,lh,ifs,lat
201,error:cpe,pc18,rh.yeo17_ifs,-12.311504364013672,rh,ifs,lat
202,error:cpe,pc18,lh.yeo17_ips,-26.990205764770508,lh,ips,lat
203,error:cpe,pc18,rh.yeo17_ips,-54.64972686767578,rh,ips,lat
204,error:cpe,pc18,lh.yeo17_mspl,-62.53435134887695,lh,mspl,med
205,error:cpe,pc18,rh.yeo17_mspl,-56.92146682739258,rh,mspl,med
206,error:cpe,pc18,lh.yeo17_pcc,-61.29735565185547,lh,pcc,med
207,error:cpe,pc18,rh.yeo17_pcc,-62.1408805847168,rh,pcc,med
208,error:cpe,pc19,lh.yeo17_ifs,-16.39421272277832,lh,ifs,lat
209,error:cpe,pc19,rh.yeo17_ifs,-62.7835807800293,rh,ifs,lat
210,error:cpe,pc19,lh.yeo17_ips,-40.928314208984375,lh,ips,lat
211,error:cpe,pc19,rh.yeo17_ips,-63.017578125,rh,ips,lat
212,error:cpe,pc19,lh.yeo17_mspl,-38.106204986572266,lh,mspl,med
213,error:cpe,pc19,rh.yeo17_mspl,-39.98833465576172,rh,mspl,med
214,error:cpe,pc19,lh.yeo17_pcc,-54.89626693725586,lh,pcc,med
215,error:cpe,pc19,rh.yeo17_pcc,-67.24462127685547,rh,pcc,med
216,error:cpe,pc22,lh.yeo17_ifs,-21.23945426940918,lh,ifs,lat
217,error:cpe,pc22,rh.yeo17_ifs,-2.661968946456909,rh,ifs,lat
218,error:cpe,pc22,lh.yeo17_ips,-25.451244354248047,lh,ips,lat
219,error:cpe,pc22,rh.yeo17_ips,-33.14206314086914,rh,ips,lat
220,error:cpe,pc22,lh.yeo17_mspl,-16.464099884033203,lh,mspl,med
221,error:cpe,pc22,rh.yeo17_mspl,-16.04667091369629,rh,mspl,med
222,error:cpe,pc22,lh.yeo17_pcc,3.7540855407714844,lh,pcc,med
223,error:cpe,pc22,rh.yeo17_pcc,24.931303024291992,rh,pcc,med
224,error:cpe,pc23,lh.yeo17_ifs,-23.045225143432617,lh,ifs,lat
225,error:cpe,pc23,rh.yeo17_ifs,-14.427420616149902,rh,ifs,lat
226,error:cpe,pc23,lh.yeo17_ips,-29.708383560180664,lh,ips,lat
227,error:cpe,pc23,rh.yeo17_ips,-16.67413330078125,rh,ips,lat
228,error:cpe,pc23,lh.yeo17_mspl,-24.199169158935547,lh,mspl,med
229,error:cpe,pc23,rh.yeo17_mspl,-27.541126251220703,rh,mspl,med
230,error:cpe,pc23,lh.yeo17_pcc,-22.69623374938965,lh,pcc,med
231,error:cpe,pc23,rh.yeo17_pcc,-10.313819885253906,rh,pcc,med
232,error:cpe,pc24,lh.yeo17_ifs,-9.828739166259766,lh,ifs,lat
233,error:cpe,pc24,rh.yeo17_ifs,-1.8386362791061401,rh,ifs,lat
234,error:cpe,pc24,lh.yeo17_ips,-21.368196487426758,lh,ips,lat
235,error:cpe,pc24,rh.yeo17_ips,-7.226757049560547,rh,ips,lat
236,error:cpe,pc24,lh.yeo17_mspl,-0.917760968208313,lh,mspl,med
237,error:cpe,pc24,rh.yeo17_mspl,-6.943109512329102,rh,mspl,med
238,error:cpe,pc24,lh.yeo17_pcc,-2.4420690536499023,lh,pcc,med
239,error:cpe,pc24,rh.yeo17_pcc,-4.09625768661499,rh,pcc,med
240,rt,pc07,lh.yeo17_ifs,14.089096069335938,lh,ifs,lat
241,rt,pc07,rh.yeo17_ifs,0.9582059383392334,rh,ifs,lat
242,rt,pc07,lh.yeo17_ips,24.841962814331055,lh,ips,lat
243,rt,pc07,rh.yeo17_ips,16.16798210144043,rh,ips,lat
244,rt,pc07,lh.yeo17_mspl,12.39855670928955,lh,mspl,med
245,rt,pc07,rh.yeo17_mspl,7.879914283752441,rh,mspl,med
246,rt,pc07,lh.yeo17_pcc,-12.297131538391113,lh,pcc,med
247,rt,pc07,rh.yeo17_pcc,-10.44633960723877,rh,pcc,med
248,rt,pc08,lh.yeo17_ifs,15.538914680480957,lh,ifs,lat
249,rt,pc08,rh.yeo17_ifs,5.967151641845703,rh,ifs,lat
250,rt,pc08,lh.yeo17_ips,8.721785545349121,lh,ips,lat
251,rt,pc08,rh.yeo17_ips,5.4537672996521,rh,ips,lat
252,rt,pc08,lh.yeo17_mspl,35.80591583251953,lh,mspl,med
253,rt,pc08,rh.yeo17_mspl,30.748708724975586,rh,mspl,med
254,rt,pc08,lh.yeo17_pcc,11.381505966186523,lh,pcc,med
