,roi,subj,cpe,dist,dist_within
87,IPS,pc14,4,1.16101389021,1.41381706909
88,IPS,pc15,1,1.01971461787,0.931048679845
89,IPS,pc15,2,0.678628779868,0.589962841839
90,IPS,pc15,3,1.109964648,1.02129870997
91,IPS,pc15,4,1.32837757358,1.23971163555
92,IPS,pc16,1,0.684062878259,0.754950403659
93,IPS,pc16,2,0.468834801471,0.539722326871
94,IPS,pc16,3,1.12756526156,1.19845278695
95,IPS,pc16,4,1.21800882432,1.28889634972
96,IPS,pc17,1,0.823450497512,0.882146661228
97,IPS,pc17,2,0.748106048568,0.806802212283
98,IPS,pc17,3,0.940543033914,0.999239197629
99,IPS,pc17,4,1.03513763235,1.09383379606
100,IPS,pc18,1,0.773539539194,0.851499078106
101,IPS,pc18,2,0.602665969608,0.680625508521
102,IPS,pc18,3,1.00544384553,1.08340338444
103,IPS,pc18,4,1.08853435722,1.16649389613
104,IPS,pc19,1,0.34037792828,0.407587754403
105,IPS,pc19,2,1.3549764622,1.42218628832
106,IPS,pc19,3,0.558911660979,0.626121487101
107,IPS,pc19,4,1.25891651126,1.32612633738
108,IPS,pc22,1,0.750312736897,0.9816082824
109,IPS,pc22,2,0.71027424235,0.941569787853
110,IPS,pc22,3,0.531124029932,0.762419575435
111,IPS,pc22,4,0.865128676013,1.09642422152
112,IPS,pc23,1,0.63678509206,0.683557171949
113,IPS,pc23,2,0.928667902087,0.975439981976
114,IPS,pc23,3,0.763358229039,0.810130308928
115,IPS,pc23,4,1.26612232446,1.31289440435
116,IPS,pc24,1,0.95762293554,0.60471064367
117,IPS,pc24,2,1.21248875269,0.859576460821
118,IPS,pc24,3,1.40792073314,1.05500844127
119,IPS,pc24,4,1.61563861331,1.26272632144
